servers's processes start in 15:59:12
iteration 304::  85.7007 ms
iteration 305::  88.9323 ms
iteration 306::  72.9429 ms
iteration 307::  79.711 ms
iteration 308::  77.3683 ms
iteration 309::  81.762 ms
iteration 310::  91.4529 ms
iteration 311::  84.5458 ms
iteration 312::  87.7472 ms
iteration 313::  81.3824 ms
iteration 314::  80.4762 ms
iteration 315::  78.634 ms
iteration 316::  72.8015 ms
iteration 317::  79.8425 ms
iteration 318::  74.2953 ms
iteration 319::  72.7356 ms
iteration 320::  72.3858 ms
iteration 321::  91.1459 ms
iteration 322::  80.5062 ms
iteration 323::  82.4654 ms
iteration 324::  85.291 ms
iteration 325::  74.8753 ms
iteration 326::  71.3845 ms
iteration 327::  93.7123 ms
iteration 328::  67.7643 ms
iteration 329::  93.517 ms
iteration 330::  83.8509 ms
iteration 331::  73.2743 ms
iteration 332::  73.6685 ms
iteration 333::  75.748 ms
iteration 334::  87.0961 ms
iteration 335::  77.7494 ms
iteration 336::  85.6797 ms
iteration 337::  78.094 ms
iteration 338::  84.1723 ms
iteration 339::  81.9292 ms
iteration 340::  80.9264 ms
iteration 341::  85.7513 ms
iteration 342::  79.4291 ms
iteration 343::  81.8647 ms
iteration 344::  79.1711 ms
iteration 345::  85.9489 ms
iteration 346::  73.8477 ms
iteration 347::  84.5356 ms
iteration 348::  88.4763 ms
iteration 349::  74.8482 ms
iteration 350::  84.296 ms
iteration 351::  95.0907 ms
iteration 352::  70.0361 ms
iteration 353::  67.5906 ms
iteration 354::  75.3431 ms
iteration 355::  82.8664 ms
iteration 356::  81.5514 ms
iteration 357::  74.2663 ms
iteration 358::  82.2023 ms
iteration 359::  80.019 ms
iteration 360::  86.6705 ms
iteration 361::  86.9866 ms
iteration 362::  86.0159 ms
iteration 363::  73.7322 ms
iteration 364::  96.2453 ms
iteration 365::  85.1487 ms
iteration 366::  83.1093 ms
iteration 367::  89.8789 ms
iteration 368::  87.369 ms
iteration 369::  84.396 ms
iteration 370::  79.7853 ms
iteration 371::  84.2902 ms
iteration 372::  80.7104 ms
iteration 373::  94.8194 ms
iteration 374::  95.3626 ms
iteration 375::  85.8011 ms
iteration 376::  93.6549 ms
iteration 377::  83.532 ms
iteration 378::  71.7983 ms
iteration 379::  72.5503 ms
iteration 380::  85.3033 ms
iteration 381::  77.6434 ms
iteration 382::  74.088 ms
iteration 383::  71.1424 ms
iteration 384::  87.0824 ms
iteration 385::  83.1937 ms
iteration 386::  88.0535 ms
iteration 387::  85.722 ms
iteration 388::  85.6928 ms
iteration 389::  84.7241 ms
iteration 390::  84.327 ms
iteration 391::  85.0456 ms
iteration 392::  83.3549 ms
iteration 393::  83.0194 ms
iteration 394::  86.6877 ms
iteration 395::  85.8714 ms
iteration 396::  71.051 ms
iteration 397::  85.2422 ms
iteration 398::  81.5504 ms
iteration 399::  80.171 ms
iteration 400::  83.7457 ms
iteration 401::  85.7202 ms
iteration 402::  79.4075 ms
iteration 403::  73.6384 ms
iteration 404::  62.1788 ms
iteration 405::  85.3087 ms
iteration 406::  83.5126 ms
iteration 407::  78.1324 ms
iteration 408::  66.6764 ms
iteration 409::  74.3772 ms
iteration 410::  74.6813 ms
iteration 411::  83.1668 ms
iteration 412::  84.6243 ms
iteration 413::  73.0486 ms
iteration 414::  64.9069 ms
iteration 415::  81.3637 ms
iteration 416::  85.4178 ms
iteration 417::  83.4028 ms
iteration 418::  73.1912 ms
iteration 419::  83.8047 ms
iteration 420::  81.7225 ms
iteration 421::  73.9449 ms
iteration 422::  94.8263 ms
iteration 423::  92.045 ms
iteration 424::  71.7865 ms
iteration 425::  85.6796 ms
iteration 426::  88.3489 ms
iteration 427::  79.4728 ms
iteration 428::  71.1864 ms
iteration 429::  68.8469 ms
iteration 430::  68.897 ms
iteration 431::  69.304 ms
iteration 432::  70.9344 ms
iteration 433::  83.3218 ms
iteration 434::  81.4175 ms
iteration 435::  95.7677 ms
iteration 436::  83.0025 ms
iteration 437::  85.1037 ms
iteration 438::  81.7065 ms
iteration 439::  82.3583 ms
iteration 440::  86.6625 ms
iteration 441::  83.265 ms
iteration 442::  85.8015 ms
iteration 443::  74.7791 ms
iteration 444::  84.162 ms
iteration 445::  91.5723 ms
iteration 446::  86.5147 ms
iteration 447::  96.5399 ms
iteration 448::  95.4634 ms
iteration 449::  87.9242 ms
iteration 450::  84.1603 ms
iteration 451::  71.4134 ms
iteration 452::  83.1722 ms
iteration 453::  79.1429 ms
iteration 454::  85.6815 ms
iteration 455::  79.9617 ms
iteration 456::  84.0639 ms
iteration 457::  75.9372 ms
iteration 458::  78.1585 ms
iteration 459::  76.186 ms
iteration 460::  78.5049 ms
iteration 461::  80.8611 ms
iteration 462::  84.0478 ms
iteration 463::  84.0833 ms
iteration 464::  82.0912 ms
iteration 465::  87.0873 ms
iteration 466::  86.2607 ms
iteration 467::  83.8573 ms
iteration 468::  86.8238 ms
iteration 469::  87.0797 ms
iteration 470::  82.5734 ms
iteration 471::  85.5552 ms
iteration 472::  81.2743 ms
iteration 473::  76.4615 ms
iteration 474::  88.4222 ms
iteration 475::  88.6235 ms
iteration 476::  86.642 ms
iteration 477::  86.579 ms
iteration 478::  85.3196 ms
iteration 479::  73.5879 ms
iteration 480::  85.7677 ms
iteration 481::  78.346 ms
iteration 482::  87.2101 ms
iteration 483::  87.2998 ms
iteration 484::  87.2071 ms
iteration 485::  86.2296 ms
iteration 486::  85.7406 ms
iteration 487::  84.4162 ms
iteration 488::  86.0564 ms
iteration 489::  73.459 ms
iteration 490::  82.7891 ms
iteration 491::  137.5 ms
iteration 492::  91.5789 ms
iteration 493::  85.9788 ms
iteration 494::  83.4735 ms
iteration 495::  84.415 ms
iteration 496::  82.8253 ms
iteration 497::  78.0954 ms
iteration 498::  88.4094 ms
iteration 499::  79.4097 ms
iteration 500::  82.0649 ms
iteration 501::  74.8602 ms
iteration 502::  73.286 ms
iteration 503::  83.5385 ms
iteration 504::  86.1125 ms
iteration 505::  92.4104 ms
iteration 506::  94.0245 ms
iteration 507::  70.348 ms
iteration 508::  82.7752 ms
iteration 509::  87.0839 ms
iteration 510::  77.0428 ms
iteration 511::  75.6794 ms
iteration 512::  86.8144 ms
iteration 513::  74.728 ms
iteration 514::  72.6406 ms
iteration 515::  76.1052 ms
iteration 516::  96.3072 ms
iteration 517::  99.7016 ms
iteration 518::  67.9634 ms
iteration 519::  97.3614 ms
iteration 520::  71.4964 ms
iteration 521::  71.5102 ms
iteration 522::  95.6985 ms
iteration 523::  72.8009 ms
iteration 524::  65.5669 ms
iteration 525::  102.225 ms
iteration 526::  91.2634 ms
iteration 527::  67.3071 ms
iteration 528::  75.774 ms
iteration 529::  78.7538 ms
iteration 530::  91.0253 ms
iteration 531::  68.7371 ms
iteration 532::  72.6906 ms
iteration 533::  67.1999 ms
iteration 534::  72.4935 ms
iteration 535::  84.2797 ms
iteration 536::  62.3761 ms
iteration 537::  67.5003 ms
iteration 538::  79.9842 ms
iteration 539::  86.9205 ms
iteration 540::  64.1825 ms
iteration 541::  64.1664 ms
iteration 542::  64.3337 ms
iteration 543::  73.3612 ms
iteration 544::  64.5867 ms
iteration 545::  62.7203 ms
iteration 546::  62.4223 ms
iteration 547::  61.9083 ms
iteration 548::  75.594 ms
iteration 549::  81.3584 ms
iteration 550::  72.7848 ms
iteration 551::  72.629 ms
iteration 552::  75.3758 ms
iteration 553::  83.4163 ms
iteration 554::  87.4776 ms
iteration 555::  100.834 ms
iteration 556::  87.7716 ms
iteration 557::  73.0894 ms
iteration 558::  70.573 ms
iteration 559::  70.6878 ms
iteration 560::  71.6271 ms
iteration 561::  82.8988 ms
iteration 562::  84.7769 ms
iteration 563::  86.9002 ms
iteration 564::  77.8198 ms
iteration 565::  82.1638 ms
iteration 566::  74.383 ms
iteration 567::  87.3109 ms
iteration 568::  76.8998 ms
iteration 569::  66.099 ms
iteration 570::  65.0847 ms
iteration 571::  66.3362 ms
iteration 572::  86.1922 ms
iteration 573::  79.2573 ms
iteration 574::  94.1686 ms
iteration 575::  76.2453 ms
iteration 576::  74.7614 ms
iteration 577::  68.2634 ms
iteration 578::  66.4736 ms
iteration 579::  85.8886 ms
iteration 580::  83.2795 ms
iteration 581::  73.6151 ms
iteration 582::  76.1407 ms
iteration 583::  87.6952 ms
iteration 584::  83.9113 ms
iteration 585::  85.4426 ms
iteration 586::  74.6425 ms
iteration 587::  77.6762 ms
iteration 588::  64.3494 ms
iteration 589::  86.4166 ms
iteration 590::  71.9275 ms
iteration 591::  66.9299 ms
iteration 592::  70.9634 ms
iteration 593::  73.2563 ms
iteration 594::  68.6334 ms
iteration 595::  78.1252 ms
iteration 596::  71.3368 ms
iteration 597::  69.5827 ms
iteration 598::  66.0461 ms
iteration 599::  77.7032 ms
iteration 600::  78.5383 ms
iteration 601::  65.9045 ms
iteration 602::  73.4726 ms
iteration 603::  81.0065 ms
iteration 604::  84.4001 ms
iteration 605::  82.6742 ms
iteration 606::  71.9315 ms
iteration 607::  89.6592 ms
iteration 608::  87.5041 ms
iteration 609::  82.5034 ms
iteration 610::  73.4971 ms
new connection in 16:00:21
iteration 611::  90.526 ms
iteration 612::  64.353 ms
iteration 613::  63.8283 ms
iteration 614::  48.8335 ms
iteration 615::  48.4771 ms
iteration 616::  51.2011 ms
iteration 617::  56.6332 ms
iteration 618::  77.7142 ms
iteration 619::  53.9131 ms
iteration 620::  55.4647 ms
iteration 621::  47.311 ms
iteration 622::  50.1893 ms
iteration 623::  49.9842 ms
iteration 624::  48.6481 ms
iteration 625::  48.6259 ms
iteration 626::  48.3258 ms
iteration 627::  49.5236 ms
iteration 628::  49.4264 ms
iteration 629::  62.0132 ms
iteration 630::  58.2796 ms
iteration 631::  53.3884 ms
iteration 632::  61.0387 ms
iteration 633::  49.4745 ms
iteration 634::  48.1019 ms
iteration 635::  49.8468 ms
iteration 636::  47.2589 ms
iteration 637::  46.551 ms
iteration 638::  51.529 ms
iteration 639::  50.8545 ms
iteration 640::  50.4683 ms
iteration 641::  50.3694 ms
iteration 642::  59.5095 ms
iteration 643::  61.9282 ms
iteration 644::  60.8523 ms
iteration 645::  56.1924 ms
iteration 646::  73.7181 ms
iteration 647::  51.7972 ms
iteration 648::  49.8006 ms
iteration 649::  50.1177 ms
iteration 650::  50.7905 ms
iteration 651::  50.2968 ms
iteration 652::  46.0808 ms
iteration 653::  49.8358 ms
iteration 654::  46.8905 ms
iteration 655::  47.5613 ms
iteration 656::  51.7707 ms
iteration 657::  56.214 ms
iteration 658::  46.8039 ms
iteration 659::  47.5411 ms
iteration 660::  46.0966 ms
iteration 661::  42.7312 ms
iteration 662::  50.9942 ms
iteration 663::  46.0572 ms
iteration 664::  46.0915 ms
iteration 665::  44.1907 ms
iteration 666::  55.3041 ms
iteration 667::  66.3213 ms
iteration 668::  52.8405 ms
iteration 669::  51.4933 ms
iteration 670::  44.0694 ms
iteration 671::  48.6707 ms
iteration 672::  48.6046 ms
iteration 673::  48.1656 ms
iteration 674::  48.5539 ms
iteration 675::  50.1185 ms
iteration 676::  52.1439 ms
iteration 677::  50.9239 ms
iteration 678::  47.5495 ms
iteration 679::  43.2597 ms
iteration 680::  41.0602 ms
iteration 681::  40.7946 ms
iteration 682::  40.7013 ms
iteration 683::  42.8078 ms
iteration 684::  41.69 ms
iteration 685::  41.4617 ms
iteration 686::  47.7649 ms
iteration 687::  48.5037 ms
iteration 688::  45.905 ms
iteration 689::  45.6063 ms
iteration 690::  44.0834 ms
iteration 691::  44.2986 ms
iteration 692::  48.0672 ms
iteration 693::  51.7557 ms
iteration 694::  59.987 ms
iteration 695::  47.9096 ms
iteration 696::  54.3655 ms
iteration 697::  46.7442 ms
iteration 698::  56.6266 ms
iteration 699::  49.4514 ms
iteration 700::  47.2214 ms
iteration 701::  47.1628 ms
iteration 702::  47.8772 ms
iteration 703::  46.6566 ms
iteration 704::  47.1923 ms
iteration 705::  46.533 ms
iteration 706::  47.6075 ms
iteration 707::  54.2118 ms
iteration 708::  51.2166 ms
iteration 709::  48.006 ms
iteration 710::  47.8139 ms
iteration 711::  45.7969 ms
iteration 712::  45.885 ms
iteration 713::  45.7833 ms
iteration 714::  45.4437 ms
iteration 715::  51.729 ms
iteration 716::  49.5469 ms
iteration 717::  47.297 ms
iteration 718::  51.4625 ms
iteration 719::  50.4012 ms
iteration 720::  47.636 ms
iteration 721::  45.2185 ms
iteration 722::  49.7041 ms
iteration 723::  60.4952 ms
iteration 724::  67.4346 ms
iteration 725::  57.3709 ms
iteration 726::  68.7624 ms
iteration 727::  47.5192 ms
iteration 728::  46.4355 ms
iteration 729::  46.6552 ms
iteration 730::  44.8026 ms
iteration 731::  43.8393 ms
iteration 732::  46.4682 ms
iteration 733::  43.4038 ms
iteration 734::  54.815 ms
iteration 735::  50.1469 ms
iteration 736::  58.8571 ms
iteration 737::  58.4153 ms
iteration 738::  72.0409 ms
iteration 739::  46.3289 ms
iteration 740::  52.6497 ms
iteration 741::  53.1108 ms
iteration 742::  47.7413 ms
iteration 743::  47.6808 ms
iteration 744::  49.0271 ms
iteration 745::  48.3988 ms
iteration 746::  48.2981 ms
iteration 747::  47.0049 ms
iteration 748::  47.3328 ms
iteration 749::  50.413 ms
iteration 750::  51.2838 ms
